run,linearity
11,14.686521:15.0-18.751003:15.0-119.63636:207.0-128.35635:207.0-136.71715:207.0-262.44962:207.0-272.86017:207.0-283.32556:207.0-293.83975:207.0-304.39737:207.0-314.99365:207.0-325.62436:207.0-336.28568:207.0-346.97424:207.0-357.68707:207.0-368.42148:207.0-411.53128:223.0-422.34283:223.0-433.1651:223.0-443.99692:223.0-454.83725:223.0-465.68515:223.0-476.53976:223.0-487.4004:223.0-498.26633:223.0-509.13702:223.0-520.01196:223.0-530.8906:223.0-541.77264:223.0-552.65765:223.0-563.5453:223.0-574.4353:223.0-759.7566:191.0-770.6633:191.0-781.5703:191.0-792.47754:191.0-803.38495:191.0-814.29254:191.0-825.2003:191.0-836.1082:191.0-847.0163:191.0-857.92444:191.0-868.8327:191.0-879.7411:191.0-890.64954:191.0-901.55804:191.0-912.4666:191.0-923.37524:191.0-934.28394:191.0-945.1927:191.0-956.10144:191.0-967.01025:191.0-977.91907:191.0-988.82794:191.0-999.7368:191.0-1010.64575:191.0-1130.6448:191.0-1141.5538:191.0-1152.4629:191.0-1163.372:191.0-1174.281:191.0-1185.1901:191.0-1196.0991:191.0-1207.0082:191.0-1217.9172:191.0-1228.8263:191.0-1239.7354:191.0-1250.6444:191.0-1316.0988:223.0-1327.0078:223.0-1337.9169:223.0-1457.9165:175.0-1468.8256:175.0-1621.5524:223.0-1632.4614:223.0-1643.3705:223.0-1654.2795:223.0-1665.1886:223.0-1796.0973:191.0-1807.0063:191.0-1817.9154:191.0-1828.8245:191.0-1839.7335:191.0-1872.4607:207.0-1883.3698:207.0-1894.2788:207.0-1905.1879:207.0-1916.0969:207.0-1927.006:207.0-1937.915:207.0-1948.8241:207.0-1959.7332:207.0-1970.6422:207.0-1981.5513:207.0-1992.4603:207.0-2003.3694:207.0-2014.2784:207.0-2025.1875:207.0-2036.0966:207.0-2047.0056:207.0-2057.9148:207.0-2068.824:207.0-2079.7332:207.0-2090.6423:207.0-2101.5515:207.0-2112.4607:207.0-2123.3699:207.0-2134.279:207.0-2145.1882:207.0-2156.0974:207.0-2167.0066:207.0-2177.9158:207.0-2188.825:207.0-2287.0076:191.0-2297.9167:191.0-2330.6443:207.0-2341.5535:207.0-2352.4626:207.0-2363.3718:207.0-2373.681:207.0-2383.456:207.0-2384.0:207.0
12,14.686521:15.0-18.751003:15.0-108.21837:239.0-116.39435:239.0-124.87097:239.0-230.65184:191.0-240.96013:191.0-251.3345:191.0-261.7677:191.0-272.25323:191.0-282.78537:191.0-293.35898:191.0-303.96948:191.0-314.61282:191.0-325.2854:191.0-335.984:191.0-346.70575:191.0-357.44812:191.0-368.2088:191.0-530.8535:191.0-541.7396:191.0-552.62823:191.0-563.5191:191.0-574.412:191.0-585.30664:191.0-596.2029:191.0-607.1005:191.0-672.5085:239.0-683.41254:239.0-694.31714:239.0-781.56775:191.0-792.4753:191.0-803.383:191.0-814.29083:191.0-825.1988:191.0-836.1069:191.0-847.0151:191.0-857.9234:191.0-923.37463:223.0-934.2834:223.0-945.19214:223.0-956.10095:223.0-967.00977:223.0-977.91864:223.0-988.8275:223.0-999.73645:223.0-1010.6454:223.0-1021.5543:223.0-1119.7355:207.0-1130.6445:207.0-1141.5536:207.0-1152.4626:207.0-1163.3717:207.0-1174.2808:207.0-1272.4623:191.0-1283.3713:191.0-1294.2804:191.0-1305.1895:191.0-1316.0985:191.0-1327.0076:191.0-1359.7347:207.0-1370.6438:207.0-1381.5529:207.0-1392.4619:207.0-1403.371:207.0-1414.28:207.0-1425.1891:207.0-1436.0981:207.0-1447.0072:207.0-1457.9163:207.0-1588.825:191.0-1599.734:191.0-1610.6431:191.0-1621.5521:191.0-1632.4612:191.0-1643.3702:191.0-1654.2793:191.0-1665.1884:191.0-1676.0974:191.0-1687.0065:191.0-1697.9155:191.0-1708.8246:191.0-1719.7336:191.0-1730.6427:191.0-1741.5518:191.0-1752.4608:191.0-1763.3699:191.0-1774.2789:191.0-1785.188:191.0-1796.097:191.0-1807.0061:191.0-1817.9152:191.0-1828.8242:191.0-1839.7333:191.0-1850.6423:191.0-1861.5514:191.0-1872.4604:191.0-1883.3695:191.0-1894.2786:191.0-1905.1876:191.0-1970.642:223.0-1981.551:223.0-1992.4601:223.0-2003.3691:223.0-2014.2782:223.0-2025.1873:223.0-2057.9146:239.0-2068.8237:239.0-2079.733:239.0-2090.642:239.0-2101.5513:239.0-2112.4604:239.0-2123.3696:239.0-2134.2788:239.0-2145.188:239.0-2156.0972:239.0-2241.6865:159.0-2245.751:159.0-2250.5684:159.0-2256.056:159.0-2316.731:223.0-2325.7405:223.0-2384.0:191.0
13,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-239.10587:207.0-249.6842:207.0-260.29892:207.0-270.946:207.0-281.62195:207.0-292.32352:207.0-303.0479:207.0-335.33432:223.0-346.12753:223.0-356.9335:223.0-454.57324:207.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-628.8715:207.0-639.77563:207.0-650.6803:207.0-661.58545:207.0-672.491:207.0-683.397:207.0-694.3033:207.0-705.2099:207.0-716.11676:207.0-727.02386:207.0-737.9312:207.0-748.83875:207.0-836.1038:159.0-847.0124:159.0-923.3736:223.0-945.19135:239.0-956.1003:239.0-967.0092:239.0-977.91815:239.0-988.82715:239.0-999.73615:239.0-1010.64514:239.0-1021.55414:239.0-1032.4633:239.0-1130.6448:223.0-1141.5538:223.0-1152.4629:223.0-1163.372:223.0-1174.281:223.0-1185.1901:223.0-1283.3716:207.0-1294.2806:207.0-1305.1897:207.0-1316.0988:207.0-1327.0078:207.0-1337.9169:207.0-1348.8259:207.0-1359.735:207.0-1370.644:207.0-1381.5531:207.0-1392.4622:207.0-1403.3712:207.0-1540.748:239.0-1550.9457:239.0-1618.3134:207.0-1628.3788:207.0-1638.537:207.0-1648.7778:207.0-1659.0922:207.0-1709.7786:239.0-1719.3828:239.0-1729.1306:239.0-1800.2542:207.0-1810.706:207.0-1935.1885:191.0-1955.3058:207.0-1986.1212:239.0-1996.5278:239.0-2066.183:207.0-2076.1829:207.0-2201.552:191.0-2212.2612:191.0-2222.9924:191.0-2233.7432:191.0-2244.5112:191.0-2255.295:191.0-2266.0923:191.0-2276.902:191.0-2287.7227:191.0-2298.553:191.0-2309.392:191.0-2320.2388:191.0-2374.5613:223.0-2379.0:223.0-2377.8:223.0-2329.325:223.0-2326.3892:223.0-2324.9763:223.0-2324.9763:223.0-2326.1763:223.0-2328.4443:223.0-2331.0627:223.0-2333.9932:223.0-2337.8013:223.0-2342.3906:223.0-2347.675:223.0-2353.5781:223.0
14,12.88652:15.0-13.549004:15.0-159.86736:191.0-169.56194:191.0-179.39012:191.0-189.3372:191.0-199.3901:191.0-209.53719:191.0-219.76808:191.0-230.07358:191.0-240.44548:191.0-250.87646:191.0-261.36005:191.0-400.49228:159.0-411.3181:159.0-563.50354:207.0-574.39813:207.0-585.2943:207.0-596.1919:207.0-607.09076:207.0-617.9907:207.0-628.8917:207.0-639.7936:207.0-650.6962:207.0-661.5996:207.0-672.5036:207.0-683.40814:207.0-694.31323:207.0-705.21875:207.0-716.12463:207.0-727.0309:207.0-737.93744:207.0-748.8443:207.0-759.7514:207.0-770.6587:207.0-781.5662:207.0-792.4739:207.0-803.3817:207.0-945.19183:239.0-956.1007:239.0-967.0096:239.0-977.91846:239.0-988.8274:239.0-999.7363:239.0-1010.64526:239.0-1021.55426:239.0-1032.4631:239.0-1043.3721:239.0-1054.2811:239.0-1065.1902:239.0-1076.0992:239.0-1087.0083:239.0-1097.9174:239.0-1108.8264:239.0-1119.7355:239.0-1130.6445:239.0-1207.0079:207.0-1217.917:207.0-1228.826:207.0-1239.7351:207.0-1250.6442:207.0-1261.5532:207.0-1272.4623:207.0-1283.3713:207.0-1294.2804:207.0-1457.9163:239.0-1468.8253:239.0-1479.7344:239.0-1577.9159:223.0-1588.825:223.0-1687.0065:207.0-1697.9155:207.0-1708.8246:207.0-1719.7336:207.0-1730.6427:207.0-1741.5518:207.0-1752.4608:207.0-1763.3699:207.0-1807.0061:223.0-1817.9152:223.0-1828.8242:223.0-1937.9148:159.0-2003.3691:207.0-2014.2782:207.0-2025.1873:207.0-2036.0963:207.0-2047.0054:207.0-2057.9146:207.0-2068.8237:207.0-2079.733:207.0-2090.642:207.0-2101.5513:207.0-2112.4604:207.0-2123.3696:207.0-2134.2788:207.0-2145.188:207.0-2156.0972:207.0-2167.0063:207.0-2177.9155:207.0-2188.8247:207.0-2199.734:207.0-2210.643:207.0-2276.0981:239.0-2287.0073:239.0-2374.2808:191.0-2384.0:191.0
15,14.686521:15.0-18.751003:15.0-126.93359:191.0-136.6509:191.0-146.4993:191.0-156.46437:191.0-166.5333:191.0-176.69463:191.0-186.93822:191.0-218.07687:207.0-228.5684:207.0-239.10587:207.0-249.6842:207.0-260.29892:207.0-270.946:207.0-281.62195:207.0-292.32352:207.0-454.57324:239.0-465.45016:239.0-476.33063:239.0-487.21423:239.0-563.4629:207.0-574.36194:207.0-585.2621:207.0-596.1632:207.0-607.06525:207.0-617.968:207.0-628.8715:207.0-639.77563:207.0-650.6803:207.0-661.58545:207.0-672.491:207.0-683.397:207.0-694.3033:207.0-705.2099:207.0-716.11676:207.0-727.02386:207.0-737.9312:207.0-748.83875:207.0-759.74646:207.0-770.6543:207.0-781.5623:207.0-792.47046:207.0-803.37866:207.0-814.287:207.0-912.4647:191.0-923.3736:191.0-934.2825:191.0-945.19135:191.0-956.1003:191.0-967.0092:191.0-977.91815:191.0-988.82715:191.0-1032.4633:207.0-1043.3723:207.0-1054.2814:207.0-1065.1904:207.0-1076.0995:207.0-1087.0085:207.0-1097.9176:207.0-1108.8267:207.0-1119.7357:207.0-1130.6448:207.0-1141.5538:207.0-1152.4629:207.0-1163.372:207.0-1228.8263:239.0-1239.7354:239.0-1250.6444:239.0-1327.0078:207.0-1337.9169:207.0-1348.8259:207.0-1359.735:207.0-1370.644:207.0-1479.7346:191.0-1490.6437:191.0-1501.5527:191.0-1512.4618:191.0-1523.3708:191.0-1534.2799:191.0-1545.189:191.0-1556.098:191.0-1567.0071:191.0-1577.9161:191.0-1588.8252:191.0-1599.7343:191.0-1610.6433:191.0-1676.0977:223.0-1687.0067:223.0-1697.9158:223.0-1708.8248:223.0-1719.7339:223.0-1730.643:223.0-1741.552:223.0-1752.461:223.0-1763.3701:223.0-1774.2792:223.0-1817.9154:239.0-1828.8245:239.0-1839.7335:239.0-1850.6426:239.0-1861.5516:239.0-1872.4607:239.0-1883.3698:239.0-1894.2788:239.0-1905.1879:239.0-1916.0969:239.0-1927.006:239.0-1937.915:239.0-1948.8241:239.0-1959.7332:239.0-1970.6422:239.0-1981.5513:239.0-1992.4603:239.0-2090.6423:239.0-2101.5515:239.0-2112.4607:239.0-2123.3699:239.0-2134.279:239.0-2145.1882:239.0-2156.0974:239.0-2167.0066:239.0-2177.9158:239.0-2188.825:239.0-2383.456:191.0-2384.0:191.0
16,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-239.10587:191.0-249.6842:191.0-260.29892:191.0-270.946:191.0-281.62195:191.0-292.32352:191.0-303.0479:191.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-346.12753:191.0-356.9335:191.0-367.7508:191.0-411.11047:207.0-421.96832:207.0-432.8318:207.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-498.10065:207.0-508.98956:207.0-748.83875:223.0-759.74646:223.0-770.6543:223.0-781.5623:223.0-792.47046:223.0-803.37866:223.0-814.287:223.0-825.1954:223.0-836.1038:223.0-847.0124:223.0-857.921:223.0-868.82965:223.0-879.73834:223.0-890.6471:223.0-901.5559:223.0-912.4647:223.0-923.3736:223.0-934.2825:223.0-945.19135:223.0-1021.55414:191.0-1032.4633:191.0-1043.3723:191.0-1054.2814:191.0-1065.1904:191.0-1119.7357:223.0-1130.6448:223.0-1141.5538:223.0-1152.4629:223.0-1163.372:223.0-1174.281:223.0-1185.1901:223.0-1196.0991:223.0-1207.0082:223.0-1327.0078:223.0-1337.9169:223.0-1348.8259:223.0-1359.735:223.0-1370.644:223.0-1381.5531:223.0-1392.4622:223.0-1403.3712:223.0-1414.2803:223.0-1425.1893:223.0-1436.0984:223.0-1447.0074:223.0-1457.9165:223.0-1468.8256:223.0-1479.7346:223.0-1490.6437:223.0-1501.5527:223.0-1512.4618:223.0-1523.3708:223.0-1534.2799:223.0-1545.189:223.0-1556.098:223.0-1632.4614:191.0-1643.3705:191.0-1654.2795:191.0-1665.1886:191.0-1676.0977:191.0-1687.0067:191.0-1697.9158:191.0-1708.8248:191.0-1752.461:207.0-1763.3701:207.0-1774.2792:207.0-1785.1882:207.0-1796.0973:207.0-1807.0063:207.0-1817.9154:207.0-1828.8245:207.0-1839.7335:207.0-1850.6426:207.0-1894.2788:223.0-1905.1879:223.0-1916.0969:223.0-1927.006:223.0-2012.517:207.0-2020.0198:207.0-2143.5386:207.0-2152.229:207.0-2290.5176:191.0-2301.0403:191.0-2311.6055:191.0-2322.2085:191.0-2332.8452:191.0-2343.512:191.0-2354.2053:191.0-2364.9224:191.0-2375.6606:191.0-2384.0:191.0
17,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-166.5333:207.0-176.69463:207.0-207.63695:223.0-218.07687:223.0-228.5684:223.0-239.10587:223.0-249.6842:223.0-260.29892:223.0-270.946:223.0-281.62195:223.0-292.32352:223.0-543.451:207.0-554.15137:207.0-564.8747:207.0-575.61847:207.0-586.38043:207.0-597.15857:207.0-607.9511:207.0-618.7565:207.0-629.57324:207.0-640.40015:207.0-651.2361:207.0-770.8086:207.0-781.69965:207.0-792.59265:207.0-803.4874:207.0-814.3838:207.0-825.28156:207.0-836.18054:207.0-847.0806:207.0-857.98175:207.0-868.8837:207.0-879.7865:207.0-890.68994:207.0-901.594:207.0-912.4986:207.0-923.4037:207.0-934.30927:207.0-945.2152:207.0-956.1215:207.0-967.02814:207.0-977.935:207.0-988.8421:207.0-999.74945:207.0-1010.657:207.0-1021.5647:207.0-1119.7391:191.0-1130.6478:191.0-1141.5565:191.0-1152.4652:191.0-1163.374:191.0-1174.2828:191.0-1294.2811:191.0-1305.1902:191.0-1316.0992:191.0-1327.0083:191.0-1337.9174:191.0-1348.8264:191.0-1359.7355:191.0-1370.6445:191.0-1381.5536:191.0-1392.4626:191.0-1403.3717:191.0-1414.2808:191.0-1567.0076:207.0-1577.9166:207.0-1588.8257:207.0-1599.7347:207.0-1610.6438:207.0-1621.5529:207.0-1632.4619:207.0-1643.371:207.0-1654.28:207.0-1665.1891:207.0-1708.8253:223.0-1719.7344:223.0-1730.6434:223.0-1741.5525:223.0-1752.4615:223.0-1763.3706:223.0-1861.5521:207.0-1872.4612:207.0-1883.3702:207.0-1894.2793:207.0-1992.4608:191.0-2003.3699:191.0-2014.2789:191.0-2057.9153:223.0-2068.8245:223.0-2079.7336:223.0-2090.6428:223.0-2349.683:207.0-2359.6978:207.0-2369.8108:207.0-2384.0:223.0
18,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-186.93822:223.0-197.255:223.0-207.63695:223.0-218.07687:223.0-228.5684:223.0-239.10587:223.0-249.6842:223.0-260.29892:223.0-270.946:223.0-281.62195:223.0-292.32352:223.0-303.0479:223.0-313.79263:223.0-324.55542:223.0-335.33432:223.0-443.7003:159.0-498.10065:191.0-508.98956:191.0-519.8807:191.0-530.7738:191.0-541.66864:191.0-552.56506:191.0-563.4629:191.0-574.36194:191.0-585.2621:191.0-596.1632:191.0-607.06525:191.0-617.968:191.0-628.8715:191.0-639.77563:191.0-650.6803:191.0-661.58545:191.0-672.491:191.0-683.397:191.0-694.3033:191.0-705.2099:191.0-825.1954:191.0-836.1038:191.0-847.0124:191.0-857.921:191.0-901.5559:223.0-912.4647:223.0-923.3736:223.0-1043.3723:223.0-1054.2814:223.0-1130.6448:191.0-1141.5538:191.0-1152.4629:191.0-1163.372:191.0-1174.281:191.0-1185.1901:191.0-1196.0991:191.0-1207.0082:191.0-1217.9172:191.0-1228.8263:191.0-1239.7354:191.0-1250.6444:191.0-1261.5535:191.0-1327.0078:223.0-1337.9169:223.0-1436.0984:207.0-1447.0074:207.0-1457.9165:207.0-1468.8256:207.0-1479.7346:207.0-1490.6437:207.0-1501.5527:207.0-1512.4618:207.0-1523.3708:207.0-1534.2799:207.0-1654.2795:207.0-1665.1886:207.0-1676.0977:207.0-1687.0067:207.0-1697.9158:207.0-1708.8248:207.0-1741.552:223.0-1752.461:223.0-1828.8245:191.0-1839.7335:191.0-1970.6422:207.0-1981.5513:207.0-1992.4603:207.0-2003.3694:207.0-2014.2784:207.0-2025.1875:207.0-2036.0966:207.0-2047.0056:207.0-2057.9148:207.0-2068.824:207.0-2079.7332:207.0-2090.6423:207.0-2101.5515:207.0-2112.4607:207.0-2123.3699:207.0-2134.279:207.0-2145.1882:207.0-2156.0974:207.0-2221.5525:239.0-2232.4617:239.0-2308.826:207.0-2319.735:207.0-2330.6443:207.0-2341.5535:207.0-2352.4626:207.0-2363.3718:207.0-2373.681:207.0-2383.456:207.0-2384.0:207.0
19,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-197.255:239.0-207.63695:239.0-218.07687:239.0-228.5684:239.0-239.10587:239.0-249.6842:239.0-260.29892:239.0-270.946:239.0-281.62195:239.0-292.32352:239.0-303.0479:239.0-313.79263:239.0-432.8318:239.0-443.7003:239.0-454.57324:239.0-465.45016:239.0-476.33063:239.0-487.21423:239.0-574.36194:191.0-585.2621:191.0-596.1632:191.0-606.4652:191.0-616.234:191.0-708.42224:191.0-718.97577:191.0-815.2886:191.0-826.0868:191.0-869.389:223.0-880.23615:223.0-891.09015:223.0-901.9502:223.0-912.8156:223.0-923.68585:223.0-934.56036:223.0-945.43866:223.0-956.3204:223.0-967.2051:223.0-978.09247:223.0-1097.9657:223.0-1108.8694:223.0-1119.7737:223.0-1130.6785:223.0-1261.5618:239.0-1272.47:239.0-1283.3782:239.0-1364.2976:191.0-1374.7048:191.0-1385.1672:191.0-1395.6788:191.0-1406.2341:191.0-1416.8284:191.0-1427.4572:191.0-1438.1168:191.0-1448.804:191.0-1459.5155:191.0-1470.2488:191.0-1481.0013:191.0-1491.7711:191.0-1502.5563:191.0-1513.355:191.0-1524.1659:191.0-1534.9875:191.0-1695.2965:223.0-1705.2938:223.0-1791.8322:207.0-1802.0105:207.0-1812.2693:207.0-1822.5996:207.0-1832.9935:207.0-1843.4441:207.0-1853.9452:207.0-1864.4911:207.0-1993.1877:223.0-2004.017:223.0-2014.855:223.0-2025.7008:223.0-2036.5536:223.0-2047.4126:223.0-2058.277:223.0-2069.1465:223.0-2080.0203:223.0-2090.898:223.0-2134.4397:239.0-2145.3313:239.0-2156.2249:239.0-2167.12:239.0-2178.0168:239.0-2188.915:239.0-2199.8142:239.0-2210.7146:239.0-2308.8506:223.0-2319.7568:223.0-2330.6636:223.0-2341.5706:223.0-2352.4778:223.0-2363.3853:223.0-2373.6929:223.0-2383.4666:223.0-2384.0:223.0
20,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-324.55542:223.0-335.33432:223.0-346.12753:223.0-356.9335:223.0-432.8318:191.0-443.7003:191.0-454.57324:191.0-465.45016:191.0-476.33063:191.0-487.21423:191.0-498.10065:191.0-508.98956:191.0-519.8807:191.0-530.7738:191.0-541.66864:191.0-552.56506:191.0-563.4629:191.0-574.36194:191.0-584.6621:191.0-594.42926:191.0-665.64026:239.0-676.0998:239.0-869.27264:191.0-880.1326:191.0-890.998:191.0-901.86816:191.0-912.7426:191.0-923.6209:191.0-934.50256:191.0-945.38727:191.0-956.27466:191.0-999.8456:207.0-1010.74255:207.0-1021.64087:207.0-1032.5404:207.0-1043.4409:207.0-1054.3424:207.0-1065.2448:207.0-1076.1478:207.0-1087.0515:207.0-1097.9558:207.0-1108.8606:207.0-1119.7659:207.0-1130.6716:207.0-1174.2979:223.0-1185.2051:223.0-1196.1125:223.0-1207.0201:223.0-1217.9279:223.0-1228.8358:223.0-1239.7439:223.0-1250.6521:223.0-1261.5603:223.0-1337.92:191.0-1348.8289:191.0-1359.7377:191.0-1370.6465:191.0-1381.5553:191.0-1392.4642:191.0-1436.1:207.0-1447.0089:207.0-1457.9178:207.0-1490.645:223.0-1501.5541:223.0-1512.4631:223.0-1523.3722:223.0-1621.5537:207.0-1632.4628:207.0-1643.3718:207.0-1687.008:239.0-1697.9171:239.0-1708.8262:239.0-1719.7352:239.0-1730.6443:239.0-1741.5533:239.0-1752.4624:239.0-1763.3715:239.0-1774.2805:239.0-1785.1896:239.0-1861.553:207.0-1872.462:207.0-1883.3711:207.0-1894.2802:207.0-1905.1892:207.0-1959.7345:239.0-1970.6436:239.0-1981.5526:239.0-1992.4617:239.0-2003.3707:239.0-2014.2798:239.0-2025.1888:239.0-2036.0979:239.0-2047.007:239.0-2057.916:239.0-2068.8252:239.0-2079.7344:239.0-2090.6436:239.0-2101.5527:239.0-2112.462:239.0-2123.371:239.0-2134.2803:239.0-2232.463:239.0-2243.372:239.0-2341.5547:223.0-2352.4639:223.0-2384.0:239.0
21,14.686521:15.0-18.751003:15.0-146.4993:239.0-156.46437:239.0-166.5333:239.0-176.69463:239.0-186.93822:239.0-281.62195:223.0-292.32352:223.0-303.0479:223.0-313.79263:223.0-324.55542:223.0-335.33432:223.0-346.12753:223.0-356.9335:223.0-367.7508:223.0-378.5782:223.0-389.41458:223.0-400.25897:223.0-519.8807:223.0-530.7738:223.0-541.66864:223.0-552.56506:223.0-563.4629:223.0-574.36194:223.0-607.06525:239.0-617.968:239.0-628.8715:239.0-639.77563:239.0-650.6803:239.0-661.58545:239.0-672.491:239.0-683.397:239.0-694.3033:239.0-705.2099:239.0-792.47046:191.0-803.37866:191.0-814.287:191.0-825.1954:191.0-836.1038:191.0-847.0124:191.0-857.921:191.0-868.82965:191.0-879.73834:191.0-890.6471:191.0-901.5559:191.0-1043.3723:191.0-1054.2814:191.0-1065.1904:191.0-1076.0995:191.0-1087.0085:191.0-1119.7357:207.0-1130.6448:207.0-1152.4629:223.0-1163.372:223.0-1316.0988:191.0-1327.0078:191.0-1337.9169:191.0-1348.8259:191.0-1359.735:191.0-1370.644:191.0-1381.5531:191.0-1392.4622:191.0-1403.3712:191.0-1414.2803:191.0-1425.1893:191.0-1436.0984:191.0-1512.4618:239.0-1523.3708:239.0-1534.2799:239.0-1631.8615:223.0-1641.6365:223.0-1721.2212:223.0-1730.7667:223.0-1840.1676:207.0-1849.829:207.0-1859.6277:207.0-1869.5485:207.0-1879.578:207.0-1994.4364:207.0-2005.1283:207.0-2015.844:207.0-2026.581:207.0-2037.337:207.0-2048.1099:207.0-2058.8977:207.0-2069.6987:207.0-2080.5117:207.0-2091.3352:207.0-2265.2961:207.0-2276.1934:207.0-2287.092:207.0-2297.9917:207.0-2330.6968:223.0-2341.6:223.0-2352.504:223.0-2363.4084:223.0-2374.3135:223.0-2384.0:223.0
22,14.686521:15.0-18.751003:15.0-134.80966:239.0-143.6606:239.0-152.73793:239.0-224.6751:191.0-234.44083:191.0-244.33234:191.0-254.33578:191.0-264.43884:191.0-274.63055:191.0-316.1044:207.0-326.6129:207.0-337.1655:207.0-347.7573:207.0-401.16904:239.0-411.92044:239.0-509.27338:223.0-520.1333:223.0-639.8458:223.0-650.7428:223.0-661.64105:223.0-672.5405:223.0-683.44104:223.0-694.3425:223.0-705.2448:223.0-716.1479:223.0-727.0516:223.0-737.9559:223.0-748.8607:223.0-759.766:223.0-770.6717:223.0-781.57776:223.0-792.4842:223.0-803.3909:223.0-814.2979:223.0-825.20514:223.0-836.11255:223.0-847.02014:223.0-857.9279:223.0-868.8358:223.0-879.74384:223.0-890.652:223.0-901.56024:223.0-912.46857:223.0-923.377:223.0-934.2855:223.0-945.1941:223.0-956.1027:223.0-967.0114:223.0-977.9201:223.0-1076.1001:207.0-1087.009:207.0-1097.918:207.0-1108.827:207.0-1207.0085:191.0-1217.9176:191.0-1228.8267:191.0-1261.5538:207.0-1272.4629:207.0-1283.372:207.0-1381.5535:191.0-1392.4625:191.0-1403.3716:191.0-1414.2806:191.0-1425.1897:191.0-1436.0988:191.0-1447.0078:191.0-1457.9169:191.0-1512.4622:223.0-1523.3712:223.0-1534.2803:223.0-1545.1893:223.0-1643.3708:207.0-1654.2799:207.0-1760.7996:207.0-1770.7915:207.0-1780.8843:207.0-1791.0669:207.0-1801.3293:207.0-1811.663:207.0-1843.0166:223.0-1853.5646:223.0-1864.1523:223.0-1874.7754:223.0-1885.4299:223.0-1896.1124:223.0-1906.82:223.0-1917.5496:223.0-1928.299:223.0-1939.0659:223.0-1949.8485:223.0-1960.645:223.0-2036.5006:191.0-2047.3654:191.0-2058.2349:191.0-2069.109:191.0-2079.9868:191.0-2090.8682:191.0-2101.7524:191.0-2112.6394:191.0-2123.5288:191.0-2134.4204:191.0-2145.314:191.0-2188.9036:207.0-2199.804:207.0-2210.7053:207.0-2221.6074:207.0-2232.5105:207.0-2243.414:207.0-2254.3184:207.0-2265.2231:207.0-2276.1284:207.0-2287.0342:207.0-2330.6604:223.0-2341.5676:223.0-2352.475:223.0-2363.3826:223.0-2374.2903:223.0-2384.0:223.0
23,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-186.93822:223.0-260.29892:191.0-270.946:191.0-281.62195:191.0-292.32352:191.0-303.0479:191.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-498.10065:207.0-508.98956:207.0-519.8807:207.0-530.7738:207.0-628.8715:191.0-639.77563:191.0-650.6803:191.0-661.58545:191.0-672.491:191.0-683.397:191.0-694.3033:191.0-705.2099:191.0-716.11676:191.0-792.47046:239.0-803.37866:239.0-814.287:239.0-1032.4633:207.0-1043.3723:207.0-1054.2814:207.0-1065.1904:207.0-1097.9176:223.0-1108.8267:223.0-1119.7357:223.0-1130.6448:223.0-1141.5538:223.0-1152.4629:223.0-1163.372:223.0-1174.281:223.0-1185.1901:223.0-1196.0991:223.0-1207.0082:223.0-1217.9172:223.0-1228.8263:223.0-1239.7354:223.0-1250.6444:223.0-1261.5535:223.0-1272.4625:223.0-1283.3716:223.0-1294.2806:223.0-1305.1897:223.0-1316.0988:223.0-1327.0078:223.0-1337.9169:223.0-1414.2803:191.0-1425.1893:191.0-1436.0984:191.0-1447.0074:191.0-1457.9165:191.0-1468.8256:191.0-1479.7346:191.0-1490.6437:191.0-1567.0071:239.0-1577.9161:239.0-1697.9158:239.0-1708.8248:239.0-1719.7339:239.0-1730.643:239.0-1741.552:239.0-1752.461:239.0-1763.3701:239.0-1774.2792:239.0-1850.6426:207.0-1861.5516:207.0-1872.4607:207.0-1883.3698:207.0-1894.2788:207.0-1905.1879:207.0-1916.0969:207.0-1927.006:207.0-1937.915:207.0-1948.8241:207.0-1959.7332:207.0-1970.6422:207.0-1981.5513:207.0-1992.4603:207.0-2003.3694:207.0-2068.824:239.0-2079.7332:239.0-2167.0066:191.0-2177.9158:191.0-2188.825:191.0-2199.7341:191.0-2210.6433:191.0-2383.456:207.0-2384.0:207.0
